cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030888;Muito Alta Vulnerabilidade;1710;630;3
355030889;Baixíssima Vulnerabilidade;8363;3441;19
355030889;Muito Baixa Vulnerabilidade;50534;19819;105
355030889;Baixa Vulnerabilidade;18686;7261;35
355030889;Média Vulnerabilidade;5855;2358;13
355030889;Alta Vulnerabilidade;6544;2327;11
355030889;Muito Alta Vulnerabilidade;17272;6290;39
355030890;Baixíssima Vulnerabilidade;112690;51636;489
355030890;Muito Baixa Vulnerabilidade;8043;3533;34
355030890;Baixa Vulnerabilidade;3581;2076;19
355030890;Média Vulnerabilidade;0;0;0
355030890;Alta Vulnerabilidade;152;52;1
355030890;Muito Alta Vulnerabilidade;1072;361;2
355030891;Baixíssima Vulnerabilidade;2992;1120;7
355030891;Muito Baixa Vulnerabilidade;85126;31829;175
355030891;Baixa Vulnerabilidade;12264;4729;27
355030891;Média Vulnerabilidade;1055;396;2
355030891;Alta Vulnerabilidade;741;269;1
355030891;Muito Alta Vulnerabilidade;828;285;3
355030892;Baixíssima Vulnerabilidade;361;126;1
355030892;Muito Baixa Vulnerabilidade;83979;30785;171
355030892;Baixa Vulnerabilidade;14790;5456;33
355030892;Média Vulnerabilidade;1702;621;3
355030892;Alta Vulnerabilidade;9226;3237;19
355030892;Muito Alta Vulnerabilidade;4766;1671;10
355030893;Baixíssima Vulnerabilidade;19815;7976;45
355030893;Muito Baixa Vulnerabilidade;65041;25823;125
355030893;Baixa Vulnerabilidade;13394;5923;24
355030893;Média Vulnerabilidade;395;162;2
355030893;Alta Vulnerabilidade;1236;412;2
355030893;Muito Alta Vulnerabilidade;5219;1838;9
355030894;Baixíssima Vulnerabilidade;44242;17281;116
355030894;Muito Baixa Vulnerabilidade;40862;15839;121
355030894;Baixa Vulnerabilidade;8206;3572;21
355030894;Média Vulnerabilidade;654;222;2
355030894;Alta Vulnerabilidade;1123;387;2
355030894;Muito Alta Vulnerabilidade;28123;10008;41
355030895;Baixíssima Vulnerabilidade;11418;4318;30
355030895;Muito Baixa Vulnerabilidade;49056;18395;116
355030895;Baixa Vulnerabilidade;8543;3188;15
355030895;Média Vulnerabilidade;130;38;1
355030895;Alta Vulnerabilidade;3623;1275;6
355030895;Muito Alta Vulnerabilidade;15342;5377;30
355030896;Baixíssima Vulnerabilidade;0;0;0
355030896;Muito Baixa Vulnerabilidade;30994;10892;61
355030896;Baixa Vulnerabilidade;12426;4322;23
355030896;Média Vulnerabilidade;43520;14944;78
355030896;Alta Vulnerabilidade;58313;19905;92
355030896;Muito Alta Vulnerabilidade;18487;6078;41
